ID,角色名,日名,英名,暱稱,主屬,天冥,特殊地位,升職,未來★,未來AS,治療,緩補,屬盾,全屬盾,解異常,解狀態,物耐,挑釁
1,普萊,プライ,Prai,,火,天,治療;緩補;解異常,已升,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2,克利霍,クレルヴォ,Krervo,,水,天,治療;解異常;解狀態,暫無,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
3,波姆,ポム,Pom,,火,天,治療;解異常,暫無,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
4,蕾蕾,レレ,Lele,,水,天,水AOE魔中,已升,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,帕莉莎,パリサ,Parisa,,火,冥,,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,碧薇特,ビヴェット,Bivette,,火,天,物耐盾;治療,已升,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7,雷文,レイヴン,Raven,,地,冥,地AOE魔中,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,賽溫,セヴェン,Sevyn,,風,天,風AOE魔中,已升,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,布里諾,ブリーノ,Breeno,,地,冥,地AOE斬大,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,蘇依萊,ソイラ,Soira,,風,天,挑釁;高物耐,已升,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11,尼姬,ニケ,Nikeh,水刀姊,水,冥,,已升,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,茜,アカネ,Akane,刀妹,火,天,,已升,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,米蘭達,ミランダ,Miranda,,火,天,,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,諾馬爾 ,ノマル,Nomar,,水,天,挑釁;高物耐,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
15,丹尼,デニー,Denny,,水,天,,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,伊俄,イオ,Yio,,地,天,,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,羅貝拉,ロベーラ,Rovella,,水,冥,,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,洛福斯,ルーフス,Rufus,,火,天,,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,玫,メイ,May,,地,天,,已升,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,千代,チヨ,Chiyo,,地,天,全屬盾;物耐水盾,已升,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
21,小町,コマチ,Komachi,,地,天,,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,乙葉,オトハ,Otoha,貓神大人,地,天,無屬3連;VC升腕速,已升,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,林麗,リンリー,Lingli,,火,天,VC升腕速,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,芙朗,フォラン,Foran,,水,天,無屬3連,已升,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,達爾尼思,ダルニス,Darunis,,風,天,無屬3連,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,繆倫,ミュロン,Myron,,地,天,,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,貝內迪特,ベネディト,Benedict,,風,冥,,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,喬卡,キュカ,Cyuca,,風,天,,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,尼洛,ネロ,Nero,,水,冥,治療;解異常;升物耐,暫無,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
30,薩摩拉,サモラ,Samora,,火,天,,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,路伊娜,ルイナ,Ruina,風紀,風,冥,普攻2連,已升,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,羅維娜,ラビナ,Lovinia,,風,天,緩補;升速,暫無,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,艾莉娜,エリナ,Erina,,無,天,打帶補;解異常;解狀態,暫無,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
34,耶月,ヤヅキ,Yazuki,,風,天,,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,諾諾德,ノノルド,Nonold,,無,天,猛毒,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,茲爾巴,ジルバー,Zilva,,地,冥,長回全屬盾,暫無,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
37,米悠,ミーユ,Miyu,公主,火,天,風盾,已升,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
38,西雅爾,シエル,Ciel,偽娘,地,天,長回全屬盾,已升,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
